Code,Description,Type,TypeLabel
12,"senior administrator, government agency ",19,All examples
12,"sergeant-at-arms, House of Commons ",19,All examples
12,superintendent of financial institutions ,19,All examples
12,territorial commissioner ,19,All examples
12,town clerk ,19,All examples
12,township clerk ,19,All examples
12,trade commissioner ,19,All examples
12,undersecretary of state ,19,All examples
12,vice-consul ,19,All examples
12,vice-president - government services ,19,All examples
12,  Legislators (0011),50,Exclusion(s)
12,Middle managers in government  (See 041 Managers in public administration),50,Exclusion(s)
12,Senior government managers and officials perform some or all of the following duties: ,60,Main duties
12,"Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees ",60,Main duties
12,Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision ,60,Main duties
12,"Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members ",60,Main duties
12,Ensure appropriate systems and procedures are developed and implemented to provide budgetary control ,60,Main duties
12,Co-ordinate department activities with other senior government managers and officials ,60,Main duties
12,"Make presentations to legislative and other government committees regarding policies, programs or budgets. ",60,Main duties
12, ,60,Main duties
12, ,60,Main duties
12, ,60,Main duties
12, ,60,Main duties
12, ,60,Main duties
12, ,60,Main duties
12, ,60,Main duties
12,A university degree or college diploma is usually required. ,70,Employment requirements
12,A graduate degree in a related field may be required. ,70,Employment requirements
12,Several years of managerial experience in the public or private sector are required. ,70,Employment requirements
12,There is mobility among senior management occupations. ,80,Additional information
13,bank president ,10,Illustrative example(s)
13,chief executive officer (CEO) - telephone company ,10,Illustrative example(s)
13,chief financial officer (CFO) - advertising agency ,10,Illustrative example(s)
13,chief operating officer - engineering firm ,10,Illustrative example(s)
13,"executive director, credit union ",10,Illustrative example(s)
13,"executive vice-president, real estate agency ",10,Illustrative example(s)
13,"general manager, real estate management company ",10,Illustrative example(s)
13,"president and chief executive officer - financial, communications and other business services ",10,Illustrative example(s)
13,"president, advertising agency ",10,Illustrative example(s)
13,"president, computing service company ",10,Illustrative example(s)
13,"regional vice-president, trust company ",10,Illustrative example(s)
13,"vice-president, human resources - bank ",10,Illustrative example(s)
13,"vice-president, marketing - clerical staff services ",10,Illustrative example(s)
13,"vice-president, operations - satellite communication services ",10,Illustrative example(s)
13, ,19,All examples
13, ,19,All examples
13, ,19,All examples
13,advertising agency president ,19,All examples
13,"assistant executive director - financial, communications and other business services ",19,All examples
13,bank credit vice-president ,19,All examples
13,bank president ,19,All examples
13,"CEO (chief executive officer) - financial, communications and other business services ",19,All examples
13,CEO (chief executive officer) - telephone company ,19,All examples
13,CFO (chief financial officer) - advertising agency ,19,All examples
13,"CFO (chief financial officer) - financial, communications and other business services ",19,All examples
13,"chairman/woman - financial, communications and other business services ",19,All examples
13,"chairperson - financial, communications and other business services ",19,All examples
13,"chief executive officer (CEO) - financial, communications and other business services ",19,All examples
13,chief executive officer (CEO) - telephone company ,19,All examples
13,chief financial officer (CFO) - advertising agency ,19,All examples
13,"chief financial officer (CFO) - financial, communications and other business services ",19,All examples
13,chief operating officer - engineering firm ,19,All examples
13,"chief operating officer - financial, communications and other business services ",19,All examples
13,computing services company president ,19,All examples
13,"controller - financial, communications and other business services ",19,All examples
13,corporate banking vice-president ,19,All examples
13,"corporate controller - financial, communications and other business services ",19,All examples
13,"corporate controller, mortgage brokerage firm ",19,All examples
13,credit union executive director ,19,All examples
13,credit union general manager ,19,All examples
13,"deputy chief executive officer - financial, communications and other business services ",19,All examples
13,"deputy chief executive officer, life insurance company ",19,All examples
13,domestic banking operations vice-president ,19,All examples
13,employment agency general manager ,19,All examples
13,engineering firm president ,19,All examples
13,engineering research general manager ,19,All examples
13,"engineering vice-president - financial, communications and other business services ",19,All examples
13,"executive director - financial, communications and other business services ",19,All examples
13,"executive director, credit union ",19,All examples
13,"executive vice-president - financial, communications and other business services ",19,All examples
13,"executive vice-president, real estate agency ",19,All examples
13,"finance and administration vice-president - financial, communications and other business services ",19,All examples
13,"finance vice-president - financial, communications and other business services ",19,All examples
13,finance vice-president - holding company ,19,All examples
13,"general manager - financial, communications and other business services ",19,All examples
13,"general manager, real estate management company ",19,All examples
13,"human resources and organizational development vice-president - financial, communications and other business services ",19,All examples
13,human resources vice-president - bank ,19,All examples
13,"human resources vice-president - financial, communications and other business services ",19,All examples
13,"information systems vice-president - financial, communications and other business services ",19,All examples
13,insurance company general manager ,19,All examples
13,international banking operations vice-president ,19,All examples
13,marketing vice-president - clerical staff services ,19,All examples
13,"marketing vice-president - financial, communications and other business services ",19,All examples
13,"operations vice-president - financial, communications and other business services ",19,All examples
13,operations vice-president - satellite communication services ,19,All examples
13,personal banking vice-president ,19,All examples
13,personnel vice-president - bank ,19,All examples
13,"personnel vice-president - financial, communications and other business services ",19,All examples
13,"planning vice-president - financial, communications and other business services ",19,All examples
13,"president - financial, communications and other business services ",19,All examples
13,"president and chief executive officer - financial, communications and other business services ",19,All examples
13,"president, advertising agency ",19,All examples
13,"president, computing service company ",19,All examples
13,protective services executive director ,19,All examples
13,real estate management company executive director ,19,All examples
13,"regional vice-president - financial, communications and other business services ",19,All examples
13,"regional vice-president, trust company ",19,All examples
13,senior vice-president and chief economist ,19,All examples
13,"support services vice-president - financial, communications and other business services ",19,All examples
13,telecommunications general manager ,19,All examples
13,"treasury vice-president, banking institution ",19,All examples
13,trust company general manager ,19,All examples
13,trust company regional vice-president ,19,All examples
13,"vice-president - financial, communications and other business services ",19,All examples
13,"vice-president, finance - holding company ",19,All examples
13,"vice-president, human resources - bank ",19,All examples
13,"vice-president, marketing - clerical staff services ",19,All examples
13,"vice-president, operations - satellite communication services ",19,All examples
13,"vice-president, personnel - bank ",19,All examples
13,Related middle managers are classified in the following minor groups: ,50,Exclusion(s)
13,  Managers in communication (except broadcasting) (013),50,Exclusion(s)
13,"  Managers in engineering, architecture, science and information systems (021)",50,Exclusion(s)
13,  Managers in financial and business services (012),50,Exclusion(s)
13,Senior managers in this unit group perform some or all of the following duties: ,60,Main duties
13,"Determine the company's mission and strategic direction as conveyed through policies and concrete objectives which are met through the effective management of human, financial and material resources ",60,Main duties
13,Authorize and organize the establishment of major departments and associated senior staff positions ,60,Main duties
13,"Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall human resources planning ",60,Main duties
13,"Select middle managers, directors or other executive staff; delegate the necessary authority to them and create optimum working conditions ",60,Main duties
13,"Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions. ",60,Main duties
13,"Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular service area. ",60,Main duties
13, ,60,Main duties
13, ,60,Main duties
13, ,60,Main duties
13, ,60,Main duties
13, ,60,Main duties
13, ,60,Main duties
13, ,60,Main duties
13,"A university degree in business administration, commerce, computer science or other discipline related to the service provided is usually required. ",70,Employment requirements
13,"Several years of experience as a middle manager in financial, communications or other business services are usually required. ",70,Employment requirements
13,Specialization in a particular functional area or service is possible through specific university training in that area or through previous experience. ,70,Employment requirements
13,Senior managers in finance usually require a professional accounting designation. ,70,Employment requirements
13,There is mobility among senior management occupations. ,80,Additional information
14,"chairperson, arts and culture association ",10,Illustrative example(s)
14,"chairperson, scientific association ",10,Illustrative example(s)
14,"chief financial officer (CFO), educational institution ",10,Illustrative example(s)
14,"corporate controller, social services institution ",10,Illustrative example(s)
14,"executive director, automobile association ",10,Illustrative example(s)
14,"executive director, health services institution ",10,Illustrative example(s)
14,"executive director, professional association ",10,Illustrative example(s)
14,"executive director, voluntary organization ",10,Illustrative example(s)
14,"general manager, membership organization ",10,Illustrative example(s)
14,"president, business association ",10,Illustrative example(s)
14,"president, labour organization ",10,Illustrative example(s)
14,"president, music guild ",10,Illustrative example(s)
14, ,19,All examples
14,academic business vice-president ,19,All examples
14,"administrator, hospital ",19,All examples
14,"assistant executive director - health, education, social and community services and membership organizations ",19,All examples
14,association executive director ,19,All examples
14,automobile association executive director ,19,All examples
14,business association general manager ,19,All examples
14,business general manager ,19,All examples
14,business school general manager ,19,All examples
14,"CEO (chief executive officer) - health, education, social and community services and membership organizations ",19,All examples
14,"CFO (chief financial officer) - health, education, social and community services and membership organizations ",19,All examples
