NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
6541,Security guards and related security service occupations,120800,121800,123100,124500,126000,127100,128000,128900,130000,131100,132100
6551,Customer services representatives - financial institutions,92000,92600,92700,92900,93200,93200,93200,93200,93400,93500,93700
6552,Other customer and information services representatives,167100,167600,168700,169800,170900,171500,172000,172400,172900,173500,174100
6561,"Image, social and other personal consultants; Pet groomers and animal care workers & Other personal service occupations",38200,39500,40700,41600,42400,43000,43400,43800,44200,44600,45000
6562,"Estheticians, electrologists and related occupations",49500,49900,50600,51200,51800,52300,52600,53000,53400,53700,54100
6611,Cashiers,367900,369500,373300,377100,381600,384100,386300,388800,391600,394800,398000
6621,Service station attendants,15500,15400,14800,14300,14000,13800,13600,13500,13400,13400,13400
6622,"Store shelf stockers, clerks and order fillers",200200,200300,202700,205000,207900,209600,211000,212500,214200,216200,218200
6623,Other sales related occupations,35000,35100,34000,33300,32800,32300,32000,31800,31800,31700,31800
6711,"Food counter attendants, kitchen helpers and related support occupations",351200,357300,361200,365000,368700,371400,373800,376200,379100,382000,384700
6720,"Support occupations in accommodation, travel and amusement services",47000,47400,48100,48800,49600,50200,50700,51200,51800,52400,53000
6731,Light duty cleaners,231100,234300,237100,239700,242400,244200,245800,247300,249200,251100,253000
6732,Specialized cleaners,43800,44000,44500,44900,45400,45600,45800,46100,46300,46600,46900
6733,"Janitors, caretakers and building superintendents",202400,203100,204300,205600,207000,207700,208300,208800,209500,210200,210800
6740,"Other service support and related occupations, n.e.c.",52800,53100,52900,52800,52700,52500,52300,52100,52000,51800,51800
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",18500,18500,18800,19100,19400,19600,19800,20000,20200,20400,20600
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",27100,27400,27600,27900,28200,28500,28700,28900,29200,29400,29600
7203,"Contractors and supervisors, pipefitting trades",9200,9200,9300,9400,9500,9600,9700,9800,9900,10000,10100
7204,"Contractors and supervisors, carpentry trades",25100,25300,25600,25800,26100,26400,26700,26900,27100,27300,27500
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",70700,70500,70700,71600,72400,73300,74200,74900,75600,76300,77000
7231,Machinists and machining and tooling inspectors & Tool and die makers,51900,52200,53200,53700,54200,54600,54900,55200,55500,55700,55900
7233,Sheet metal workers; Boilermakers; Structural metal and platework fabricators and fitters & Ironworkers,44700,44700,45300,45900,46500,47100,47500,48000,48400,48800,49300
7237,Welders and related machine operators,102700,103600,105300,106900,108600,109800,111000,112100,113300,114500,115700
7241,Electricians (except industrial and power system),93900,93600,95600,97600,99500,101200,102800,104300,105900,107500,109100
7242,Industrial electricians & Power system electricians,33700,34000,34500,35000,35500,35900,36300,36600,37000,37300,37700
7244,Electrical power line and cable workers & Telecommunications line and cable workers,25000,25300,25600,25800,26000,26200,26400,26600,26700,26900,27000
7246,Telecommunications installation and repair workers & Cable television service and maintenance technician,27300,27500,27600,27700,27900,28000,28100,28200,28300,28500,28600
7251,Plumbers,48900,48800,49600,50400,51200,51900,52500,53000,53700,54300,54900
7252,"Steamfitters, pipefitters and sprinkler system installers & Gas fitters",36500,36600,37100,37600,38100,38500,38900,39300,39700,40100,40500
7271,Carpenters,130100,131200,132000,133500,135000,136600,138000,139200,140300,141300,142400
7272,Cabinetmakers,13100,13300,13500,13500,13600,13600,13700,13700,13700,13700,13700
7281,Bricklayers,16100,16400,16500,16700,16900,17100,17300,17400,17500,17600,17700
7282,Concrete finishers & Tilesetters,25400,25500,25800,26100,26400,26700,27000,27200,27400,27700,28000
7284,"Plasterers, drywall installers and finishers and lathers",36200,36400,36500,37000,37500,38000,38500,38900,39200,39600,40000
7291,Roofers and shinglers,21900,21900,22000,22300,22600,22900,23200,23500,23700,24000,24200
7292,Glaziers & Insulators,20300,20300,20500,20800,21000,21300,21500,21700,21900,22100,22300
7294,Painters and decorators (except interior decorators),44100,44400,44600,45200,45700,46300,46800,47200,47600,48000,48400
7295,Floor covering installers,13100,13200,13300,13500,13700,13800,13900,14100,14200,14300,14400
7301,"Contractors and supervisors, mechanic trades & Supervisors, printing and related occupations",68000,68400,69100,69700,70300,70800,71100,71400,71800,72100,72400
7302,"Contractors and supervisors, heavy equipment operator crews",41700,42100,42500,42900,43400,43900,44300,44600,45000,45300,45700
7304,"Supervisors, railway transport operations & Supervisors, motor transport and other ground transit operators",39500,40000,40400,40800,41300,41600,41800,42000,42400,42800,43200
7311,Construction millwrights and industrial mechanics,82700,82600,83400,84000,84500,84800,84900,85000,85200,85300,85300
7312,Heavy-duty equipment mechanics,62500,62700,63500,64300,65200,65700,66200,66600,67100,67500,68000
7313,Refrigeration and air conditioning mechanics; machine fitters & Elevator constructors and mechanics,36200,36400,36600,37200,37700,38300,38700,39200,39500,39900,40300
7314,Railway carmen/women & Aircraft mechanics and aircraft inspectors,15900,16000,16200,16400,16600,16700,16800,16900,17100,17200,17300
7321,"Automotive service technician, truck and bus mechanics and mechanical repairers",120800,120900,120900,121200,121700,122100,122500,122900,123600,124300,125100
7322,Motor vehicle body repairers,28500,28500,28200,28100,27900,27800,27600,27500,27400,27400,27400
7330,Other mechanics and related repairers,31100,31100,31400,31600,31900,32100,32200,32300,32500,32700,32900
7360,Train crew operating occupations,12500,12600,12600,12500,12500,12500,12500,12500,12500,12600,12600
7370,"Crane operators, drillers and blasters",21400,21500,21500,21600,21800,21900,21900,22000,22100,22200,22300
7380,"Printing press operators and other trades and related occupations, n.e",26300,26000,25500,25000,24700,24300,23900,23700,23500,23300,23200
7441,Residential and commercial installers and servicers,45700,45400,46100,46800,47500,48000,48500,49000,49600,50200,50700
7442,"Waterworks and gas maintenance workers; Pest controllers and fumigators & Other installers, repairers and servicers",26100,26200,26400,26600,26900,27100,27200,27400,27500,27700,27900
7450,Longshore workers and material handlers,184100,185200,186000,186800,187700,188000,188100,188200,188400,188700,188900
7511,Transport truck drivers,317100,319300,323500,327900,332400,336000,339200,342400,346000,349500,353100
7512,"Bus drivers, subway operators and other transit operators",93300,94200,95100,96000,97200,97900,98400,99100,100000,100900,101700
7513,Taxi and limousine drivers and chauffeurs,46800,47200,47700,48100,48700,49000,49300,49600,50100,50500,50900
7514,Delivery and courier service drivers,62500,63000,62300,61800,61600,61400,61300,61300,61400,61600,61900
7521,Heavy equipment operators(except crane),78600,79000,79500,80400,81300,82100,82800,83400,84000,84600,85300
7522,Public works maintenance equipment operators and related workers,29200,29600,29900,30200,30600,30800,31100,31300,31600,31900,32100
7530,Other transport equipment operators and related maintenance workers,40400,40600,40700,40900,41100,41200,41300,41300,41500,41600,41700
7610,Trades helpers and labourers,139100,138800,139000,140600,142200,144000,145600,147000,148400,149800,151200
7620,"Public works and other labourers, n.e.c.",23600,23800,23600,23400,23400,23300,23300,23300,23300,23400,23500
8211,"Supervisors, logging and forestry",5000,5100,5200,5200,5200,5200,5200,5200,5200,5200,5200
8220,"Contractors and supervisors, mining, oil and gas",32400,30700,31000,31600,32000,32300,32500,32800,33000,33200,33400
8231,Underground production and development miners,20600,20500,20900,21300,21800,21900,21900,21800,21900,22000,22000
8232,"Oil and gas well drillers, servicers, testers and related workers",32500,28700,28700,29400,29800,30200,30600,31100,31400,31700,32100
8241,Logging machinary operators,9700,9800,10000,10100,10100,10200,10200,10200,10100,10100,10000
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers & Contractors and supervisors, landscaping, grounds maintenance and horticulture services",51700,52200,52700,53100,53600,53800,54000,54100,54300,54500,54700
