NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
4162,Economists and economic policy researchers and analysts & Business development officers and marketing researchers and consultants,700,800,800,800,900,900,900,900,900,900,900
4164,"Social policy researchers, consultants and program officers & Health policy researchers, consultants and program officers",1100,1100,1200,1300,1400,1400,1400,1400,1400,1500,1500
4166,"Education policy researchers, consultants and program officers & Recreation, sports and fitness policy researchers, consultants and program officers",500,500,500,500,600,600,600,600,600,600,600
4168,"Program officers unique to government & Other professional occupations in social science, n.e.c.",300,300,300,300,300,300,300,300,300,300,300
4211,Paralegal and related occupations,400,300,400,400,400,400,400,400,400,400,400
4212,Social and community service workers,1900,1900,1900,2000,2100,2100,2200,2200,2300,2400,2400
4214,Early childhood educators and assistants,3300,3400,3500,3600,3700,3900,3900,4000,4100,4200,4200
4215,Instructors of persons with disabilities,100,100,100,100,100,100,100,100,100,100,100
4216,Other instructors & Other religious occupations,400,500,500,500,500,500,500,500,500,500,500
4311,Police officers (except commissioned),900,1000,1100,1200,1300,1500,1500,1600,1600,1700,1700
4312,Firefighters & Non-commissioned ranks of the Canadian Forces,400,500,500,500,600,600,700,700,700,700,800
4411,Home child care providers,1400,1400,1300,1300,1400,1400,1400,1400,1400,1400,1300
4412,"Home support workers, housekeepers and related occupations",1900,2000,2000,2100,2200,2200,2100,2100,2200,2200,2200
4413,Elementary and secondary school teacher assistants,2300,2400,2400,2500,2600,2600,2500,2500,2600,2500,2500
4420,Legal and public protection support occupations,400,400,400,400,400,500,500,500,500,600,600
5110,"Librarians, archivists, conservators and curators",300,300,400,400,400,400,400,400,400,400,400
5121,Authors and writers; Editors & Journalists,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
5125,"Translators, terminologists and interpreters",400,300,400,400,400,400,400,400,400,400,400
5131,"Producers, directors, choreographers and related occupations & Conductors, composers and arrangers",700,700,600,700,600,700,600,700,600,600,600
5133,"Musicians and singers; Dancers; Actors and comedians & Painters, sculptors and other visual artists",1500,1600,1600,1600,1600,1600,1600,1600,1600,1500,1500
5210,"Technical occupations in libraries, public archives, museums and art galleries",500,500,600,600,600,600,500,600,600,500,500
5221,Photographers,100,100,100,100,100,200,200,200,200,200,200
5222,"Film/video camera operators; Graphic arts technician; Broadcast technician; Audio/video recording technician; Other tech. / co-ord. occupations in motion picture, broadcasting, arts & Support occupations in motion picture, broadcasting, photography and the performing arts",200,200,200,200,200,300,300,300,300,300,300
5230,"Announcers and other performers, n.e.c.",100,100,100,100,100,100,100,100,100,100,100
5241,Graphic designers and illustrators,400,400,500,500,600,600,700,700,800,800,800
5242,Interior designers and interior decorators,200,200,200,200,200,200,200,300,300,300,300
5243,"Theatre, fashion, exhibit and other creative designers & Artisans and craftspersons; Patternmakers - textile, leather and fur products",100,100,100,200,200,200,200,200,200,200,200
5250,"Athletes, coaches, referees and related occupations",400,400,400,500,500,600,600,600,700,700,700
