Title,NOC4,Statistics,Average
Rubber processing machine operators and related workers [9423] ,9423,Average offered hourly wage (dollars) (5),15.475
Mechanical assemblers and inspectors [9526] ,9526,Average offered hourly wage (dollars) (5),15.55
"Painters, sculptors and other visual artists [5136] ",5136,Average offered hourly wage (dollars) (5),15.55
Binding and finishing machine operators [9473] ,9473,Average offered hourly wage (dollars) (5),15.5625
Labourers in chemical products processing and utilities [9613] ,9613,Average offered hourly wage (dollars) (5),15.56666667
"Machine operators and inspectors, electrical apparatus manufacturing [9527] ",9527,Average offered hourly wage (dollars) (5),15.6
Data entry clerks [1422] ,1422,Average offered hourly wage (dollars) (5),15.625
"Home support workers, housekeepers and related occupations [4412] ",4412,Average offered hourly wage (dollars) (5),15.6375
"Theatre, fashion, exhibit and other creative designers [5243] ",5243,Average offered hourly wage (dollars) (5),15.6375
"Textile fibre and yarn, hide and pelt processing machine operators and workers [9441] ",9441,Average offered hourly wage (dollars) (5),15.65
Early childhood educators and assistants [4214] ,4214,Average offered hourly wage (dollars) (5),15.65
Glass forming and finishing machine operators and glass cutters [9413] ,9413,Average offered hourly wage (dollars) (5),15.65
Other trades helpers and labourers [7612] ,7612,Average offered hourly wage (dollars) (5),15.7875
Longshore workers [7451] ,7451,Average offered hourly wage (dollars) (5),15.85
"Janitors, caretakers and building superintendents [6733] ",6733,Average offered hourly wage (dollars) (5),15.9125
Railway and motor transport labourers [7622] ,7622,Average offered hourly wage (dollars) (5),16.075
"Bus drivers, subway operators and other transit operators [7512] ",7512,Average offered hourly wage (dollars) (5),16.0875
Storekeepers and partspersons [1522] ,1522,Average offered hourly wage (dollars) (5),16.1
Technical occupations related to museums and art galleries [5212] ,5212,Average offered hourly wage (dollars) (5),16.125
"Agricultural service contractors, farm supervisors and specialized livestock workers [8252] ",8252,Average offered hourly wage (dollars) (5),16.1375
Animal health technologists and veterinary technicians [3213] ,3213,Average offered hourly wage (dollars) (5),16.1375
Outdoor sport and recreational guides [6532] ,6532,Average offered hourly wage (dollars) (5),16.1375
Other metal products machine operators [9418] ,9418,Average offered hourly wage (dollars) (5),16.1875
Foundry workers [9412] ,9412,Average offered hourly wage (dollars) (5),16.25
"Process control and machine operators, food and beverage processing [9461] ",9461,Average offered hourly wage (dollars) (5),16.25
"Industrial butchers and meat cutters, poultry preparers and related workers [9462] ",9462,Average offered hourly wage (dollars) (5),16.2625
Other services supervisors [6316] ,6316,Average offered hourly wage (dollars) (5),16.3125
"Motor vehicle assemblers, inspectors and testers [9522] ",9522,Average offered hourly wage (dollars) (5),16.3375
Labourers in mineral and metal processing [9611] ,9611,Average offered hourly wage (dollars) (5),16.35
Coaches [5252] ,5252,Average offered hourly wage (dollars) (5),16.35
Metalworking and forging machine operators [9416] ,9416,Average offered hourly wage (dollars) (5),16.5625
Furniture finishers and refinishers [9534] ,9534,Average offered hourly wage (dollars) (5),16.6
Other instructors [4216] ,4216,Average offered hourly wage (dollars) (5),16.7375
Chefs [6321] ,6321,Average offered hourly wage (dollars) (5),16.9
"Labourers in wood, pulp and paper processing [9614] ",9614,Average offered hourly wage (dollars) (5),16.925
Paper converting machine operators [9435] ,9435,Average offered hourly wage (dollars) (5),17.01666667
Plateless printing equipment operators [9471] ,9471,Average offered hourly wage (dollars) (5),17.1
Restaurant and food service managers [0631] ,631,Average offered hourly wage (dollars) (5),17.1
Retail and wholesale buyers [6222] ,6222,Average offered hourly wage (dollars) (5),17.1
General office support workers [1411] ,1411,Average offered hourly wage (dollars) (5),17.1125
"Industrial painters, coaters and metal finishing process operators [9536] ",9536,Average offered hourly wage (dollars) (5),17.1625
Customer services representatives - financial institutions [6551] ,6551,Average offered hourly wage (dollars) (5),17.2
Painters and decorators (except interior decorators) [7294] ,7294,Average offered hourly wage (dollars) (5),17.3375
"Accommodation, travel, tourism and related services supervisors [6313] ",6313,Average offered hourly wage (dollars) (5),17.4125
Other repairers and servicers [7445] ,7445,Average offered hourly wage (dollars) (5),17.425
